variant,experiment,ny,nx,tpb,coarsen,rep,time_ms
aos_scatter,qe_tiled,45000200,22054600,24,1,0,9.980372
aos_scatter,qe_tiled,45000200,22054600,24,1,1,9.998813
aos_scatter,qe_tiled,45000200,22054600,24,1,2,10.103834
aos_scatter,qe_tiled,45000200,22054600,24,1,3,10.079853
aos_scatter,qe_tiled,45000200,22054600,24,1,4,10.104263
aos_scatter,qe_tiled,45000200,22054600,24,1,5,9.978253
aos_scatter,qe_tiled,45000200,22054600,24,1,6,9.969173
aos_scatter,qe_tiled,45000200,22054600,24,1,7,10.197594
aos_scatter,qe_tiled,45000200,22054600,24,1,8,9.998812
aos_scatter,qe_tiled,45000200,22054600,24,1,9,10.086212
aos_scatter,qe_tiled,45000200,22054600,24,1,10,9.971033
aos_scatter,qe_tiled,45000200,22054600,24,1,11,10.005863
aos_scatter,qe_tiled,45000200,22054600,24,1,12,9.996213
aos_scatter,qe_tiled,45000200,22054600,24,1,13,9.985751
aos_scatter,qe_tiled,45000200,22054600,24,1,14,10.080642
aos_scatter,qe_tiled,45000200,22054600,24,1,15,9.994843
aos_scatter,qe_tiled,45000200,22054600,24,1,16,9.985512
aos_scatter,qe_tiled,45000200,22054600,24,1,17,9.981702
aos_scatter,qe_tiled,45000200,22054600,24,1,18,9.979892
aos_scatter,qe_tiled,45000200,22054600,24,1,19,10.026384
aos_scatter,qe_tiled,45000200,22054600,24,1,20,10.016574
aos_scatter,qe_tiled,45000200,22054600,24,1,21,9.981973
aos_scatter,qe_tiled,45000200,22054600,24,1,22,10.225824
aos_scatter,qe_tiled,45000200,22054600,24,1,23,9.982682
aos_scatter,qe_tiled,45000200,22054600,24,1,24,9.976833
aos_scatter,qe_tiled,45000200,22054600,24,1,25,10.031083
aos_scatter,qe_tiled,45000200,22054600,24,1,26,9.980692
aos_scatter,qe_tiled,45000200,22054600,24,1,27,10.304194
aos_scatter,qe_tiled,45000200,22054600,24,1,28,10.051943
aos_scatter,qe_tiled,45000200,22054600,24,1,29,9.995683
aos_scatter,qe_tiled,45000200,22054600,24,1,30,9.973342
aos_scatter,qe_tiled,45000200,22054600,24,1,31,9.979062
aos_scatter,qe_tiled,45000200,22054600,24,1,32,9.986902
aos_scatter,qe_tiled,45000200,22054600,24,1,33,9.976353
aos_scatter,qe_tiled,45000200,22054600,24,1,34,9.973043
aos_scatter,qe_tiled,45000200,22054600,24,1,35,9.979241
aos_scatter,qe_tiled,45000200,22054600,24,1,36,10.025601
aos_scatter,qe_tiled,45000200,22054600,24,1,37,9.984703
aos_scatter,qe_tiled,45000200,22054600,24,1,38,10.148555
aos_scatter,qe_tiled,45000200,22054600,24,1,39,9.991593
aos_scatter,qe_tiled,45000200,22054600,24,1,40,9.994542
aos_scatter,qe_tiled,45000200,22054600,24,1,41,10.041112
aos_scatter,qe_tiled,45000200,22054600,24,1,42,9.984113
aos_scatter,qe_tiled,45000200,22054600,24,1,43,10.071083
aos_scatter,qe_tiled,45000200,22054600,24,1,44,10.054152
aos_scatter,qe_tiled,45000200,22054600,24,1,45,9.981092
aos_scatter,qe_tiled,45000200,22054600,24,1,46,10.009784
aos_scatter,qe_tiled,45000200,22054600,24,1,47,10.011833
aos_scatter,qe_tiled,45000200,22054600,24,1,48,9.982953
aos_scatter,qe_tiled,45000200,22054600,24,1,49,10.029352
aos_scatter,qe_tiled,45000200,22054600,24,1,50,11.313951
aos_scatter,qe_tiled,45000200,22054600,24,1,51,10.190665
aos_scatter,qe_tiled,45000200,22054600,24,1,52,10.083572
aos_scatter,qe_tiled,45000200,22054600,24,1,53,10.048713
aos_scatter,qe_tiled,45000200,22054600,24,1,54,10.105662
aos_scatter,qe_tiled,45000200,22054600,24,1,55,9.938622
aos_scatter,qe_tiled,45000200,22054600,24,1,56,9.957093
aos_scatter,qe_tiled,45000200,22054600,24,1,57,10.043642
aos_scatter,qe_tiled,45000200,22054600,24,1,58,10.121143
aos_scatter,qe_tiled,45000200,22054600,24,1,59,9.974732
aos_scatter,qe_tiled,45000200,22054600,24,1,60,10.039293
aos_scatter,qe_tiled,45000200,22054600,24,1,61,10.017054
aos_scatter,qe_tiled,45000200,22054600,24,1,62,9.996942
aos_scatter,qe_tiled,45000200,22054600,24,1,63,10.010811
aos_scatter,qe_tiled,45000200,22054600,24,1,64,10.097053
aos_scatter,qe_tiled,45000200,22054600,24,1,65,9.996613
aos_scatter,qe_tiled,45000200,22054600,24,1,66,10.035161
aos_scatter,qe_tiled,45000200,22054600,24,1,67,9.988821
aos_scatter,qe_tiled,45000200,22054600,24,1,68,9.980182
aos_scatter,qe_tiled,45000200,22054600,24,1,69,9.983583
aos_scatter,qe_tiled,45000200,22054600,24,1,70,10.056354
aos_scatter,qe_tiled,45000200,22054600,24,1,71,10.054302
aos_scatter,qe_tiled,45000200,22054600,24,1,72,10.082752
aos_scatter,qe_tiled,45000200,22054600,24,1,73,10.153094
aos_scatter,qe_tiled,45000200,22054600,24,1,74,10.065053
aos_scatter,qe_tiled,45000200,22054600,24,1,75,9.996372
aos_scatter,qe_tiled,45000200,22054600,24,1,76,9.991762
aos_scatter,qe_tiled,45000200,22054600,24,1,77,10.261665
aos_scatter,qe_tiled,45000200,22054600,24,1,78,9.970483
aos_scatter,qe_tiled,45000200,22054600,24,1,79,10.146664
aos_scatter,qe_tiled,45000200,22054600,24,1,80,9.965812
aos_scatter,qe_tiled,45000200,22054600,24,1,81,10.038752
aos_scatter,qe_tiled,45000200,22054600,24,1,82,9.957243
aos_scatter,qe_tiled,45000200,22054600,24,1,83,9.994112
aos_scatter,qe_tiled,45000200,22054600,24,1,84,10.026442
aos_scatter,qe_tiled,45000200,22054600,24,1,85,10.006551
aos_scatter,qe_tiled,45000200,22054600,24,1,86,9.945273
aos_scatter,qe_tiled,45000200,22054600,24,1,87,9.943373
aos_scatter,qe_tiled,45000200,22054600,24,1,88,9.959642
aos_scatter,qe_tiled,45000200,22054600,24,1,89,9.984372
aos_scatter,qe_tiled,45000200,22054600,24,1,90,10.082232
aos_scatter,qe_tiled,45000200,22054600,24,1,91,9.960323
aos_scatter,qe_tiled,45000200,22054600,24,1,92,10.004473
aos_scatter,qe_tiled,45000200,22054600,24,1,93,9.975581
aos_scatter,qe_tiled,45000200,22054600,24,1,94,10.027872
aos_scatter,qe_tiled,45000200,22054600,24,1,95,10.001172
aos_scatter,qe_tiled,45000200,22054600,24,1,96,9.964343
aos_scatter,qe_tiled,45000200,22054600,24,1,97,10.124064
aos_scatter,qe_tiled,45000200,22054600,24,1,98,10.035312
aos_scatter,qe_tiled,45000200,22054600,24,1,99,10.012642
aos_sorted,qe_tiled,45000200,22054600,24,1,0,9.176587
aos_sorted,qe_tiled,45000200,22054600,24,1,1,11.777146
aos_sorted,qe_tiled,45000200,22054600,24,1,2,8.231059
aos_sorted,qe_tiled,45000200,22054600,24,1,3,8.616992
aos_sorted,qe_tiled,45000200,22054600,24,1,4,8.622932
aos_sorted,qe_tiled,45000200,22054600,24,1,5,8.245760
aos_sorted,qe_tiled,45000200,22054600,24,1,6,8.582093
aos_sorted,qe_tiled,45000200,22054600,24,1,7,8.740644
aos_sorted,qe_tiled,45000200,22054600,24,1,8,8.633912
aos_sorted,qe_tiled,45000200,22054600,24,1,9,8.701242
aos_sorted,qe_tiled,45000200,22054600,24,1,10,8.330180
aos_sorted,qe_tiled,45000200,22054600,24,1,11,8.921045
aos_sorted,qe_tiled,45000200,22054600,24,1,12,9.236036
aos_sorted,qe_tiled,45000200,22054600,24,1,13,9.106087
aos_sorted,qe_tiled,45000200,22054600,24,1,14,8.930165
aos_sorted,qe_tiled,45000200,22054600,24,1,15,8.779903
aos_sorted,qe_tiled,45000200,22054600,24,1,16,8.840283
aos_sorted,qe_tiled,45000200,22054600,24,1,17,8.671222
aos_sorted,qe_tiled,45000200,22054600,24,1,18,9.205626
aos_sorted,qe_tiled,45000200,22054600,24,1,19,8.171150
aos_sorted,qe_tiled,45000200,22054600,24,1,20,8.387492
aos_sorted,qe_tiled,45000200,22054600,24,1,21,9.237608
aos_sorted,qe_tiled,45000200,22054600,24,1,22,9.208996
aos_sorted,qe_tiled,45000200,22054600,24,1,23,8.739232
aos_sorted,qe_tiled,45000200,22054600,24,1,24,8.581951
aos_sorted,qe_tiled,45000200,22054600,24,1,25,9.276217
aos_sorted,qe_tiled,45000200,22054600,24,1,26,9.066887
aos_sorted,qe_tiled,45000200,22054600,24,1,27,9.201087
aos_sorted,qe_tiled,45000200,22054600,24,1,28,8.568712
aos_sorted,qe_tiled,45000200,22054600,24,1,29,8.802153
aos_sorted,qe_tiled,45000200,22054600,24,1,30,9.241406
aos_sorted,qe_tiled,45000200,22054600,24,1,31,8.191500
aos_sorted,qe_tiled,45000200,22054600,24,1,32,9.250258
aos_sorted,qe_tiled,45000200,22054600,24,1,33,9.036477
aos_sorted,qe_tiled,45000200,22054600,24,1,34,9.076866
aos_sorted,qe_tiled,45000200,22054600,24,1,35,8.595241
aos_sorted,qe_tiled,45000200,22054600,24,1,36,8.530301
aos_sorted,qe_tiled,45000200,22054600,24,1,37,8.859344
aos_sorted,qe_tiled,45000200,22054600,24,1,38,9.258668
aos_sorted,qe_tiled,45000200,22054600,24,1,39,8.557813
aos_sorted,qe_tiled,45000200,22054600,24,1,40,8.785134
aos_sorted,qe_tiled,45000200,22054600,24,1,41,8.203360
aos_sorted,qe_tiled,45000200,22054600,24,1,42,8.285460
aos_sorted,qe_tiled,45000200,22054600,24,1,43,8.677112
aos_sorted,qe_tiled,45000200,22054600,24,1,44,8.359369
aos_sorted,qe_tiled,45000200,22054600,24,1,45,8.886664
aos_sorted,qe_tiled,45000200,22054600,24,1,46,8.541883
aos_sorted,qe_tiled,45000200,22054600,24,1,47,8.553692
aos_sorted,qe_tiled,45000200,22054600,24,1,48,8.448811
aos_sorted,qe_tiled,45000200,22054600,24,1,49,9.060755
aos_sorted,qe_tiled,45000200,22054600,24,1,50,9.151936
aos_sorted,qe_tiled,45000200,22054600,24,1,51,8.581132
aos_sorted,qe_tiled,45000200,22054600,24,1,52,8.606103
aos_sorted,qe_tiled,45000200,22054600,24,1,53,8.899155
aos_sorted,qe_tiled,45000200,22054600,24,1,54,8.930175
aos_sorted,qe_tiled,45000200,22054600,24,1,55,8.512901
aos_sorted,qe_tiled,45000200,22054600,24,1,56,8.753542
aos_sorted,qe_tiled,45000200,22054600,24,1,57,9.219906
aos_sorted,qe_tiled,45000200,22054600,24,1,58,8.714294
aos_sorted,qe_tiled,45000200,22054600,24,1,59,8.776314
aos_sorted,qe_tiled,45000200,22054600,24,1,60,9.265327
aos_sorted,qe_tiled,45000200,22054600,24,1,61,8.636231
aos_sorted,qe_tiled,45000200,22054600,24,1,62,8.127958
aos_sorted,qe_tiled,45000200,22054600,24,1,63,8.801524
aos_sorted,qe_tiled,45000200,22054600,24,1,64,9.070117
aos_sorted,qe_tiled,45000200,22054600,24,1,65,8.880995
aos_sorted,qe_tiled,45000200,22054600,24,1,66,8.964186
aos_sorted,qe_tiled,45000200,22054600,24,1,67,8.557532
aos_sorted,qe_tiled,45000200,22054600,24,1,68,9.268096
aos_sorted,qe_tiled,45000200,22054600,24,1,69,9.287006
aos_sorted,qe_tiled,45000200,22054600,24,1,70,8.740563
aos_sorted,qe_tiled,45000200,22054600,24,1,71,9.338319
aos_sorted,qe_tiled,45000200,22054600,24,1,72,9.257798
aos_sorted,qe_tiled,45000200,22054600,24,1,73,8.690514
aos_sorted,qe_tiled,45000200,22054600,24,1,74,8.686792
aos_sorted,qe_tiled,45000200,22054600,24,1,75,8.171498
aos_sorted,qe_tiled,45000200,22054600,24,1,76,8.757253
aos_sorted,qe_tiled,45000200,22054600,24,1,77,8.707544
aos_sorted,qe_tiled,45000200,22054600,24,1,78,8.901875
aos_sorted,qe_tiled,45000200,22054600,24,1,79,8.079689
aos_sorted,qe_tiled,45000200,22054600,24,1,80,8.822013
aos_sorted,qe_tiled,45000200,22054600,24,1,81,8.659352
aos_sorted,qe_tiled,45000200,22054600,24,1,82,8.292969
aos_sorted,qe_tiled,45000200,22054600,24,1,83,8.707644
aos_sorted,qe_tiled,45000200,22054600,24,1,84,8.975516
aos_sorted,qe_tiled,45000200,22054600,24,1,85,8.907846
aos_sorted,qe_tiled,45000200,22054600,24,1,86,9.242318
aos_sorted,qe_tiled,45000200,22054600,24,1,87,8.611672
aos_sorted,qe_tiled,45000200,22054600,24,1,88,9.221246
aos_sorted,qe_tiled,45000200,22054600,24,1,89,9.270317
aos_sorted,qe_tiled,45000200,22054600,24,1,90,8.551393
aos_sorted,qe_tiled,45000200,22054600,24,1,91,8.317031
aos_sorted,qe_tiled,45000200,22054600,24,1,92,8.311980
aos_sorted,qe_tiled,45000200,22054600,24,1,93,9.371067
aos_sorted,qe_tiled,45000200,22054600,24,1,94,8.900764
aos_sorted,qe_tiled,45000200,22054600,24,1,95,8.996174
aos_sorted,qe_tiled,45000200,22054600,24,1,96,9.213126
aos_sorted,qe_tiled,45000200,22054600,24,1,97,8.931715
aos_sorted,qe_tiled,45000200,22054600,24,1,98,8.583913
aos_sorted,qe_tiled,45000200,22054600,24,1,99,8.746033
soa_scatter,qe_tiled,45000200,22054600,24,1,0,9.256016
soa_scatter,qe_tiled,45000200,22054600,24,1,1,9.276637
soa_scatter,qe_tiled,45000200,22054600,24,1,2,9.241058
soa_scatter,qe_tiled,45000200,22054600,24,1,3,9.283178
soa_scatter,qe_tiled,45000200,22054600,24,1,4,9.302798
soa_scatter,qe_tiled,45000200,22054600,24,1,5,9.288506
soa_scatter,qe_tiled,45000200,22054600,24,1,6,10.180363
soa_scatter,qe_tiled,45000200,22054600,24,1,7,9.285728
soa_scatter,qe_tiled,45000200,22054600,24,1,8,9.265638
soa_scatter,qe_tiled,45000200,22054600,24,1,9,9.271286
soa_scatter,qe_tiled,45000200,22054600,24,1,10,9.263577
soa_scatter,qe_tiled,45000200,22054600,24,1,11,9.292048
soa_scatter,qe_tiled,45000200,22054600,24,1,12,9.283448
soa_scatter,qe_tiled,45000200,22054600,24,1,13,9.275137
soa_scatter,qe_tiled,45000200,22054600,24,1,14,9.233837
soa_scatter,qe_tiled,45000200,22054600,24,1,15,9.245326
soa_scatter,qe_tiled,45000200,22054600,24,1,16,9.255628
soa_scatter,qe_tiled,45000200,22054600,24,1,17,9.260818
soa_scatter,qe_tiled,45000200,22054600,24,1,18,9.270197
soa_scatter,qe_tiled,45000200,22054600,24,1,19,9.263507
soa_scatter,qe_tiled,45000200,22054600,24,1,20,9.253627
soa_scatter,qe_tiled,45000200,22054600,24,1,21,9.265618
soa_scatter,qe_tiled,45000200,22054600,24,1,22,9.252767
soa_scatter,qe_tiled,45000200,22054600,24,1,23,9.231726
soa_scatter,qe_tiled,45000200,22054600,24,1,24,9.265077
soa_scatter,qe_tiled,45000200,22054600,24,1,25,9.243708
soa_scatter,qe_tiled,45000200,22054600,24,1,26,9.286617
soa_scatter,qe_tiled,45000200,22054600,24,1,27,9.245686
soa_scatter,qe_tiled,45000200,22054600,24,1,28,9.316197
soa_scatter,qe_tiled,45000200,22054600,24,1,29,9.245457
soa_scatter,qe_tiled,45000200,22054600,24,1,30,9.229707
soa_scatter,qe_tiled,45000200,22054600,24,1,31,9.265137
soa_scatter,qe_tiled,45000200,22054600,24,1,32,9.249466
soa_scatter,qe_tiled,45000200,22054600,24,1,33,9.315127
soa_scatter,qe_tiled,45000200,22054600,24,1,34,9.256798
soa_scatter,qe_tiled,45000200,22054600,24,1,35,9.223477
soa_scatter,qe_tiled,45000200,22054600,24,1,36,9.239207
soa_scatter,qe_tiled,45000200,22054600,24,1,37,9.240426
soa_scatter,qe_tiled,45000200,22054600,24,1,38,9.246207
